Capítulo,Versículo,Texto
7.0,139.0,ان هؤلاء متبر ما هم فيه وباطل ما كانوا يعملون
7.0,140.0,قال اغير الله ابغيكم الها وهو فضلكم علي العالمين
7.0,141.0,واذ انجيناكم من ال فرعون يسومونكم سوء العذاب ۖ يقتلون ابناءكم ويستحيون نساءكم ۚ وفي ذلكم بلاء من ربكم عظيم
7.0,142.0,وواعدنا موسي ثلاثين ليله واتممناها بعشر فتم ميقات ربه اربعين ليله ۚ وقال موسي لاخيه هارون اخلفني في قومي واصلح ولا تتبع سبيل المفسدين
7.0,143.0,ولما جاء موسي لميقاتنا وكلمه ربه قال رب ارني انظر اليك ۚ قال لن تراني ولكن انظر الي الجبل فان استقر مكانه فسوف تراني ۚ فلما تجلي ربه للجبل جعله دكا وخر موسي صعقا ۚ فلما افاق قال سبحانك تبت اليك وانا اول المؤمنين
7.0,144.0,قال يا موسي اني اصطفيتك علي الناس برسالاتي وبكلامي فخذ ما اتيتك وكن من الشاكرين
7.0,145.0,وكتبنا له في الالواح من كل شيء موعظه وتفصيلا لكل شيء فخذها بقوه وامر قومك ياخذوا باحسنها ۚ ساريكم دار الفاسقين
7.0,146.0,ساصرف عن اياتي الذين يتكبرون في الارض بغير الحق وان يروا كل ايه لا يؤمنوا بها وان يروا سبيل الرشد لا يتخذوه سبيلا وان يروا سبيل الغي يتخذوه سبيلا ۚ ذلك بانهم كذبوا باياتنا وكانوا عنها غافلين
7.0,147.0,والذين كذبوا باياتنا ولقاء الاخره حبطت اعمالهم ۚ هل يجزون الا ما كانوا يعملون
7.0,148.0,واتخذ قوم موسي من بعده من حليهم عجلا جسدا له خوار ۚ الم يروا انه لا يكلمهم ولا يهديهم سبيلا ۘ اتخذوه وكانوا ظالمين
7.0,149.0,ولما سقط في ايديهم وراوا انهم قد ضلوا قالوا لئن لم يرحمنا ربنا ويغفر لنا لنكونن من الخاسرين
7.0,150.0,ولما رجع موسي الي قومه غضبان اسفا قال بئسما خلفتموني من بعدي ۖ اعجلتم امر ربكم ۖ والقي الالواح واخذ براس اخيه يجره اليه ۚ قال ابن ام ان القوم استضعفوني وكادوا يقتلونني فلا تشمت بي الاعداء ولا تجعلني مع القوم الظالمين
7.0,151.0,قال رب اغفر لي ولاخي وادخلنا في رحمتك ۖ وانت ارحم الراحمين
7.0,152.0,ان الذين اتخذوا العجل سينالهم غضب من ربهم وذله في الحياه الدنيا ۚ وكذلك نجزي المفترين
7.0,153.0,والذين عملوا السيئات ثم تابوا من بعدها وامنوا ان ربك من بعدها لغفور رحيم
7.0,154.0,ولما سكت عن موسي الغضب اخذ الالواح ۖ وفي نسختها هدي ورحمه للذين هم لربهم يرهبون
7.0,155.0,واختار موسي قومه سبعين رجلا لميقاتنا ۖ فلما اخذتهم الرجفه قال رب لو شئت اهلكتهم من قبل واياي ۖ اتهلكنا بما فعل السفهاء منا ۖ ان هي الا فتنتك تضل بها من تشاء وتهدي من تشاء ۖ انت ولينا فاغفر لنا وارحمنا ۖ وانت خير الغافرين
7.0,156.0,واكتب لنا في هذه الدنيا حسنه وفي الاخره انا هدنا اليك ۚ قال عذابي اصيب به من اشاء ۖ ورحمتي وسعت كل شيء ۚ فساكتبها للذين يتقون ويؤتون الزكاه والذين هم باياتنا يؤمنون
7.0,157.0,الذين يتبعون الرسول النبي الامي الذي يجدونه مكتوبا عندهم في التوراه والانجيل يامرهم بالمعروف وينهاهم عن المنكر ويحل لهم الطيبات ويحرم عليهم الخبائث ويضع عنهم اصرهم والاغلال التي كانت عليهم ۚ فالذين امنوا به وعزروه ونصروه واتبعوا النور الذي انزل معه ۙ اولئك هم المفلحون
7.0,158.0,قل يا ايها الناس اني رسول الله اليكم جميعا الذي له ملك السماوات والارض ۖ لا اله الا هو يحيي ويميت ۖ فامنوا بالله ورسوله النبي الامي الذي يؤمن بالله وكلماته واتبعوه لعلكم تهتدون
7.0,159.0,ومن قوم موسي امه يهدون بالحق وبه يعدلون
7.0,160.0,وقطعناهم اثنتي عشره اسباطا امما ۚ واوحينا الي موسي اذ استسقاه قومه ان اضرب بعصاك الحجر ۖ فانبجست منه اثنتا عشره عينا ۖ قد علم كل اناس مشربهم ۚ وظللنا عليهم الغمام وانزلنا عليهم المن والسلوي ۖ كلوا من طيبات ما رزقناكم ۚ وما ظلمونا ولكن كانوا انفسهم يظلمون
7.0,161.0,واذ قيل لهم اسكنوا هذه القريه وكلوا منها حيث شئتم وقولوا حطه وادخلوا الباب سجدا نغفر لكم خطيئاتكم ۚ سنزيد المحسنين
7.0,162.0,فبدل الذين ظلموا منهم قولا غير الذي قيل لهم فارسلنا عليهم رجزا من السماء بما كانوا يظلمون
7.0,163.0,واسالهم عن القريه التي كانت حاضره البحر اذ يعدون في السبت اذ تاتيهم حيتانهم يوم سبتهم شرعا ويوم لا يسبتون ۙ لا تاتيهم ۚ كذلك نبلوهم بما كانوا يفسقون
7.0,164.0,واذ قالت امه منهم لم تعظون قوما ۙ الله مهلكهم او معذبهم عذابا شديدا ۖ قالوا معذره الي ربكم ولعلهم يتقون
7.0,165.0,فلما نسوا ما ذكروا به انجينا الذين ينهون عن السوء واخذنا الذين ظلموا بعذاب بئيس بما كانوا يفسقون
7.0,166.0,فلما عتوا عن ما نهوا عنه قلنا لهم كونوا قرده خاسئين
7.0,167.0,واذ تاذن ربك ليبعثن عليهم الي يوم القيامه من يسومهم سوء العذاب ۗ ان ربك لسريع العقاب ۖ وانه لغفور رحيم
7.0,168.0,وقطعناهم في الارض امما ۖ منهم الصالحون ومنهم دون ذلك ۖ وبلوناهم بالحسنات والسيئات لعلهم يرجعون
7.0,169.0,فخلف من بعدهم خلف ورثوا الكتاب ياخذون عرض هذا الادني ويقولون سيغفر لنا وان ياتهم عرض مثله ياخذوه ۚ الم يؤخذ عليهم ميثاق الكتاب ان لا يقولوا علي الله الا الحق ودرسوا ما فيه ۗ والدار الاخره خير للذين يتقون ۗ افلا تعقلون
7.0,170.0,والذين يمسكون بالكتاب واقاموا الصلاه انا لا نضيع اجر المصلحين
7.0,171.0,واذ نتقنا الجبل فوقهم كانه ظله وظنوا انه واقع بهم خذوا ما اتيناكم بقوه واذكروا ما فيه لعلكم تتقون
7.0,172.0,واذ اخذ ربك من بني ادم من ظهورهم ذريتهم واشهدهم علي انفسهم الست بربكم ۖ قالوا بلي ۛ شهدنا ۛ ان تقولوا يوم القيامه انا كنا عن هذا غافلين
7.0,173.0,او تقولوا انما اشرك اباؤنا من قبل وكنا ذريه من بعدهم ۖ افتهلكنا بما فعل المبطلون
7.0,174.0,وكذلك نفصل الايات ولعلهم يرجعون
7.0,175.0,واتل عليهم نبا الذي اتيناه اياتنا فانسلخ منها فاتبعه الشيطان فكان من الغاوين
7.0,176.0,ولو شئنا لرفعناه بها ولكنه اخلد الي الارض واتبع هواه ۚ فمثله كمثل الكلب ان تحمل عليه يلهث او تتركه يلهث ۚ ذلك مثل القوم الذين كذبوا باياتنا ۚ فاقصص القصص لعلهم يتفكرون
7.0,177.0,ساء مثلا القوم الذين كذبوا باياتنا وانفسهم كانوا يظلمون
7.0,178.0,من يهد الله فهو المهتدي ۖ ومن يضلل فاولئك هم الخاسرون
7.0,179.0,ولقد ذرانا لجهنم كثيرا من الجن والانس ۖ لهم قلوب لا يفقهون بها ولهم اعين لا يبصرون بها ولهم اذان لا يسمعون بها ۚ اولئك كالانعام بل هم اضل ۚ اولئك هم الغافلون
7.0,180.0,ولله الاسماء الحسني فادعوه بها ۖ وذروا الذين يلحدون في اسمائه ۚ سيجزون ما كانوا يعملون
7.0,181.0,وممن خلقنا امه يهدون بالحق وبه يعدلون
7.0,182.0,والذين كذبوا باياتنا سنستدرجهم من حيث لا يعلمون
7.0,183.0,واملي لهم ۚ ان كيدي متين
7.0,184.0,اولم يتفكروا ۗ ما بصاحبهم من جنه ۚ ان هو الا نذير مبين
7.0,185.0,اولم ينظروا في ملكوت السماوات والارض وما خلق الله من شيء وان عسي ان يكون قد اقترب اجلهم ۖ فباي حديث بعده يؤمنون
7.0,186.0,من يضلل الله فلا هادي له ۚ ويذرهم في طغيانهم يعمهون
7.0,187.0,يسالونك عن الساعه ايان مرساها ۖ قل انما علمها عند ربي ۖ لا يجليها لوقتها الا هو ۚ ثقلت في السماوات والارض ۚ لا تاتيكم الا بغته ۗ يسالونك كانك حفي عنها ۖ قل انما علمها عند الله ولكن اكثر الناس لا يعلمون
7.0,188.0,قل لا املك لنفسي نفعا ولا ضرا الا ما شاء الله ۚ ولو كنت اعلم الغيب لاستكثرت من الخير وما مسني السوء ۚ ان انا الا نذير وبشير لقوم يؤمنون
7.0,189.0,هو الذي خلقكم من نفس واحده وجعل منها زوجها ليسكن اليها ۖ فلما تغشاها حملت حملا خفيفا فمرت به ۖ فلما اثقلت دعوا الله ربهما لئن اتيتنا صالحا لنكونن من الشاكرين
7.0,190.0,فلما اتاهما صالحا جعلا له شركاء فيما اتاهما ۚ فتعالي الله عما يشركون
7.0,191.0,ايشركون ما لا يخلق شيئا وهم يخلقون
7.0,192.0,ولا يستطيعون لهم نصرا ولا انفسهم ينصرون
7.0,193.0,وان تدعوهم الي الهدي لا يتبعوكم ۚ سواء عليكم ادعوتموهم ام انتم صامتون
7.0,194.0,ان الذين تدعون من دون الله عباد امثالكم ۖ فادعوهم فليستجيبوا لكم ان كنتم صادقين
7.0,195.0,الهم ارجل يمشون بها ۖ ام لهم ايد يبطشون بها ۖ ام لهم اعين يبصرون بها ۖ ام لهم اذان يسمعون بها ۗ قل ادعوا شركاءكم ثم كيدون فلا تنظرون
7.0,196.0,ان وليي الله الذي نزل الكتاب ۖ وهو يتولي الصالحين
7.0,197.0,والذين تدعون من دونه لا يستطيعون نصركم ولا انفسهم ينصرون
7.0,198.0,وان تدعوهم الي الهدي لا يسمعوا ۖ وتراهم ينظرون اليك وهم لا يبصرون
7.0,199.0,خذ العفو وامر بالعرف واعرض عن الجاهلين
7.0,200.0,واما ينزغنك من الشيطان نزغ فاستعذ بالله ۚ انه سميع عليم
7.0,201.0,ان الذين اتقوا اذا مسهم طائف من الشيطان تذكروا فاذا هم مبصرون
7.0,202.0,واخوانهم يمدونهم في الغي ثم لا يقصرون
7.0,203.0,واذا لم تاتهم بايه قالوا لولا اجتبيتها ۚ قل انما اتبع ما يوحي الي من ربي ۚ هذا بصائر من ربكم وهدي ورحمه لقوم يؤمنون
7.0,204.0,واذا قرئ القران فاستمعوا له وانصتوا لعلكم ترحمون
7.0,205.0,واذكر ربك في نفسك تضرعا وخيفه ودون الجهر من القول بالغدو والاصال ولا تكن من الغافلين
7.0,206.0,ان الذين عند ربك لا يستكبرون عن عبادته ويسبحونه وله يسجدون ۩
8.0,1.0,بسم الله الرحمن الرحيم يسالونك عن الانفال ۖ قل الانفال لله والرسول ۖ فاتقوا الله واصلحوا ذات بينكم ۖ واطيعوا الله ورسوله ان كنتم مؤمنين
8.0,2.0,انما المؤمنون الذين اذا ذكر الله وجلت قلوبهم واذا تليت عليهم اياته زادتهم ايمانا وعلي ربهم يتوكلون
8.0,3.0,الذين يقيمون الصلاه ومما رزقناهم ينفقون
8.0,4.0,اولئك هم المؤمنون حقا ۚ لهم درجات عند ربهم ومغفره ورزق كريم
8.0,5.0,كما اخرجك ربك من بيتك بالحق وان فريقا من المؤمنين لكارهون
8.0,6.0,يجادلونك في الحق بعد ما تبين كانما يساقون الي الموت وهم ينظرون
8.0,7.0,واذ يعدكم الله احدي الطائفتين انها لكم وتودون ان غير ذات الشوكه تكون لكم ويريد الله ان يحق الحق بكلماته ويقطع دابر الكافرين
8.0,8.0,ليحق الحق ويبطل الباطل ولو كره المجرمون
8.0,9.0,اذ تستغيثون ربكم فاستجاب لكم اني ممدكم بالف من الملائكه مردفين
8.0,10.0,وما جعله الله الا بشري ولتطمئن به قلوبكم ۚ وما النصر الا من عند الله ۚ ان الله عزيز حكيم
8.0,11.0,اذ يغشيكم النعاس امنه منه وينزل عليكم من السماء ماء ليطهركم به ويذهب عنكم رجز الشيطان وليربط علي قلوبكم ويثبت به الاقدام
8.0,12.0,اذ يوحي ربك الي الملائكه اني معكم فثبتوا الذين امنوا ۚ سالقي في قلوب الذين كفروا الرعب فاضربوا فوق الاعناق واضربوا منهم كل بنان
8.0,13.0,ذلك بانهم شاقوا الله ورسوله ۚ ومن يشاقق الله ورسوله فان الله شديد العقاب
8.0,14.0,ذلكم فذوقوه وان للكافرين عذاب النار
8.0,15.0,يا ايها الذين امنوا اذا لقيتم الذين كفروا زحفا فلا تولوهم الادبار
8.0,16.0,ومن يولهم يومئذ دبره الا متحرفا لقتال او متحيزا الي فئه فقد باء بغضب من الله وماواه جهنم ۖ وبئس المصير
8.0,17.0,فلم تقتلوهم ولكن الله قتلهم ۚ وما رميت اذ رميت ولكن الله رمي ۚ وليبلي المؤمنين منه بلاء حسنا ۚ ان الله سميع عليم
8.0,18.0,ذلكم وان الله موهن كيد الكافرين
8.0,19.0,ان تستفتحوا فقد جاءكم الفتح ۖ وان تنتهوا فهو خير لكم ۖ وان تعودوا نعد ولن تغني عنكم فئتكم شيئا ولو كثرت وان الله مع المؤمنين
8.0,20.0,يا ايها الذين امنوا اطيعوا الله ورسوله ولا تولوا عنه وانتم تسمعون
8.0,21.0,ولا تكونوا كالذين قالوا سمعنا وهم لا يسمعون
8.0,22.0,ان شر الدواب عند الله الصم البكم الذين لا يعقلون
8.0,23.0,ولو علم الله فيهم خيرا لاسمعهم ۖ ولو اسمعهم لتولوا وهم معرضون
8.0,24.0,يا ايها الذين امنوا استجيبوا لله وللرسول اذا دعاكم لما يحييكم ۖ واعلموا ان الله يحول بين المرء وقلبه وانه اليه تحشرون
8.0,25.0,واتقوا فتنه لا تصيبن الذين ظلموا منكم خاصه ۖ واعلموا ان الله شديد العقاب
8.0,26.0,واذكروا اذ انتم قليل مستضعفون في الارض تخافون ان يتخطفكم الناس فاواكم وايدكم بنصره ورزقكم من الطيبات لعلكم تشكرون
8.0,27.0,يا ايها الذين امنوا لا تخونوا الله والرسول وتخونوا اماناتكم وانتم تعلمون
8.0,28.0,واعلموا انما اموالكم واولادكم فتنه وان الله عنده اجر عظيم
8.0,29.0,يا ايها الذين امنوا ان تتقوا الله يجعل لكم فرقانا ويكفر عنكم سيئاتكم ويغفر لكم ۗ والله ذو الفضل العظيم
8.0,30.0,واذ يمكر بك الذين كفروا ليثبتوك او يقتلوك او يخرجوك ۚ ويمكرون ويمكر الله ۖ والله خير الماكرين
8.0,31.0,واذا تتلي عليهم اياتنا قالوا قد سمعنا لو نشاء لقلنا مثل هذا ۙ ان هذا الا اساطير الاولين
8.0,32.0,واذ قالوا اللهم ان كان هذا هو الحق من عندك فامطر علينا حجاره من السماء او ائتنا بعذاب اليم
8.0,33.0,وما كان الله ليعذبهم وانت فيهم ۚ وما كان الله معذبهم وهم يستغفرون
8.0,34.0,وما لهم الا يعذبهم الله وهم يصدون عن المسجد الحرام وما كانوا اولياءه ۚ ان اولياؤه الا المتقون ولكن اكثرهم لا يعلمون
8.0,35.0,وما كان صلاتهم عند البيت الا مكاء وتصديه ۚ فذوقوا العذاب بما كنتم تكفرون
8.0,36.0,ان الذين كفروا ينفقون اموالهم ليصدوا عن سبيل الله ۚ فسينفقونها ثم تكون عليهم حسره ثم يغلبون ۗ والذين كفروا الي جهنم يحشرون
8.0,37.0,ليميز الله الخبيث من الطيب ويجعل الخبيث بعضه علي بعض فيركمه جميعا فيجعله في جهنم ۚ اولئك هم الخاسرون
8.0,38.0,قل للذين كفروا ان ينتهوا يغفر لهم ما قد سلف وان يعودوا فقد مضت سنت الاولين
8.0,39.0,وقاتلوهم حتي لا تكون فتنه ويكون الدين كله لله ۚ فان انتهوا فان الله بما يعملون بصير
8.0,40.0,وان تولوا فاعلموا ان الله مولاكم ۚ نعم المولي ونعم النصير
8.0,41.0,واعلموا انما غنمتم من شيء فان لله خمسه وللرسول ولذي القربي واليتامي والمساكين وابن السبيل ان كنتم امنتم بالله وما انزلنا علي عبدنا يوم الفرقان يوم التقي الجمعان ۗ والله علي كل شيء قدير
8.0,42.0,اذ انتم بالعدوه الدنيا وهم بالعدوه القصوي والركب اسفل منكم ۚ ولو تواعدتم لاختلفتم في الميعاد ۙ ولكن ليقضي الله امرا كان مفعولا ليهلك من هلك عن بينه ويحيي من حي عن بينه ۗ وان الله لسميع عليم
8.0,43.0,اذ يريكهم الله في منامك قليلا ۖ ولو اراكهم كثيرا لفشلتم ولتنازعتم في الامر ولكن الله سلم ۗ انه عليم بذات الصدور
8.0,44.0,واذ يريكموهم اذ التقيتم في اعينكم قليلا ويقللكم في اعينهم ليقضي الله امرا كان مفعولا ۗ والي الله ترجع الامور
8.0,45.0,يا ايها الذين امنوا اذا لقيتم فئه فاثبتوا واذكروا الله كثيرا لعلكم تفلحون
8.0,46.0,واطيعوا الله ورسوله ولا تنازعوا فتفشلوا وتذهب ريحكم ۖ واصبروا ۚ ان الله مع الصابرين
8.0,47.0,ولا تكونوا كالذين خرجوا من ديارهم بطرا ورئاء الناس ويصدون عن سبيل الله ۚ والله بما يعملون محيط
8.0,48.0,واذ زين لهم الشيطان اعمالهم وقال لا غالب لكم اليوم من الناس واني جار لكم ۖ فلما تراءت الفئتان نكص علي عقبيه وقال اني بريء منكم اني اري ما لا ترون اني اخاف الله ۚ والله شديد العقاب
8.0,49.0,اذ يقول المنافقون والذين في قلوبهم مرض غر هؤلاء دينهم ۗ ومن يتوكل علي الله فان الله عزيز حكيم
8.0,50.0,ولو تري اذ يتوفي الذين كفروا ۙ الملائكه يضربون وجوههم وادبارهم وذوقوا عذاب الحريق
8.0,51.0,ذلك بما قدمت ايديكم وان الله ليس بظلام للعبيد
8.0,52.0,كداب ال فرعون ۙ والذين من قبلهم ۚ كفروا بايات الله فاخذهم الله بذنوبهم ۗ ان الله قوي شديد العقاب
8.0,53.0,ذلك بان الله لم يك مغيرا نعمه انعمها علي قوم حتي يغيروا ما بانفسهم ۙ وان الله سميع عليم
8.0,54.0,كداب ال فرعون ۙ والذين من قبلهم ۚ كذبوا بايات ربهم فاهلكناهم بذنوبهم واغرقنا ال فرعون ۚ وكل كانوا ظالمين
8.0,55.0,ان شر الدواب عند الله الذين كفروا فهم لا يؤمنون
8.0,56.0,الذين عاهدت منهم ثم ينقضون عهدهم في كل مره وهم لا يتقون
8.0,57.0,فاما تثقفنهم في الحرب فشرد بهم من خلفهم لعلهم يذكرون
8.0,58.0,واما تخافن من قوم خيانه فانبذ اليهم علي سواء ۚ ان الله لا يحب الخائنين
8.0,59.0,ولا يحسبن الذين كفروا سبقوا ۚ انهم لا يعجزون
8.0,60.0,واعدوا لهم ما استطعتم من قوه ومن رباط الخيل ترهبون به عدو الله وعدوكم واخرين من دونهم لا تعلمونهم الله يعلمهم ۚ وما تنفقوا من شيء في سبيل الله يوف اليكم وانتم لا تظلمون
8.0,61.0,وان جنحوا للسلم فاجنح لها وتوكل علي الله ۚ انه هو السميع العليم
8.0,62.0,وان يريدوا ان يخدعوك فان حسبك الله ۚ هو الذي ايدك بنصره وبالمؤمنين
8.0,63.0,والف بين قلوبهم ۚ لو انفقت ما في الارض جميعا ما الفت بين قلوبهم ولكن الله الف بينهم ۚ انه عزيز حكيم
8.0,64.0,يا ايها النبي حسبك الله ومن اتبعك من المؤمنين
8.0,65.0,يا ايها النبي حرض المؤمنين علي القتال ۚ ان يكن منكم عشرون صابرون يغلبوا مائتين ۚ وان يكن منكم مائه يغلبوا الفا من الذين كفروا بانهم قوم لا يفقهون
8.0,66.0,الان خفف الله عنكم وعلم ان فيكم ضعفا ۚ فان يكن منكم مائه صابره يغلبوا مائتين ۚ وان يكن منكم الف يغلبوا الفين باذن الله ۗ والله مع الصابرين
8.0,67.0,ما كان لنبي ان يكون له اسري حتي يثخن في الارض ۚ تريدون عرض الدنيا والله يريد الاخره ۗ والله عزيز حكيم
8.0,68.0,لولا كتاب من الله سبق لمسكم فيما اخذتم عذاب عظيم
8.0,69.0,فكلوا مما غنمتم حلالا طيبا ۚ واتقوا الله ۚ ان الله غفور رحيم
8.0,70.0,يا ايها النبي قل لمن في ايديكم من الاسري ان يعلم الله في قلوبكم خيرا يؤتكم خيرا مما اخذ منكم ويغفر لكم ۗ والله غفور رحيم
8.0,71.0,وان يريدوا خيانتك فقد خانوا الله من قبل فامكن منهم ۗ والله عليم حكيم
8.0,72.0,ان الذين امنوا وهاجروا وجاهدوا باموالهم وانفسهم في سبيل الله والذين اووا ونصروا اولئك بعضهم اولياء بعض ۚ والذين امنوا ولم يهاجروا ما لكم من ولايتهم من شيء حتي يهاجروا ۚ وان استنصروكم في الدين فعليكم النصر الا علي قوم بينكم وبينهم ميثاق ۗ والله بما تعملون بصير
8.0,73.0,والذين كفروا بعضهم اولياء بعض ۚ الا تفعلوه تكن فتنه في الارض وفساد كبير
8.0,74.0,والذين امنوا وهاجروا وجاهدوا في سبيل الله والذين اووا ونصروا اولئك هم المؤمنون حقا ۚ لهم مغفره ورزق كريم
8.0,75.0,والذين امنوا من بعد وهاجروا وجاهدوا معكم فاولئك منكم ۚ واولو الارحام بعضهم اولي ببعض في كتاب الله ۗ ان الله بكل شيء عليم
9.0,1.0,براءه من الله ورسوله الي الذين عاهدتم من المشركين
9.0,2.0,فسيحوا في الارض اربعه اشهر واعلموا انكم غير معجزي الله ۙ وان الله مخزي الكافرين
9.0,3.0,واذان من الله ورسوله الي الناس يوم الحج الاكبر ان الله بريء من المشركين ۙ ورسوله ۚ فان تبتم فهو خير لكم ۖ وان توليتم فاعلموا انكم غير معجزي الله ۗ وبشر الذين كفروا بعذاب اليم
9.0,4.0,الا الذين عاهدتم من المشركين ثم لم ينقصوكم شيئا ولم يظاهروا عليكم احدا فاتموا اليهم عهدهم الي مدتهم ۚ ان الله يحب المتقين
9.0,5.0,فاذا انسلخ الاشهر الحرم فاقتلوا المشركين حيث وجدتموهم وخذوهم واحصروهم واقعدوا لهم كل مرصد ۚ فان تابوا واقاموا الصلاه واتوا الزكاه فخلوا سبيلهم ۚ ان الله غفور رحيم
9.0,6.0,وان احد من المشركين استجارك فاجره حتي يسمع كلام الله ثم ابلغه مامنه ۚ ذلك بانهم قوم لا يعلمون
9.0,7.0,كيف يكون للمشركين عهد عند الله وعند رسوله الا الذين عاهدتم عند المسجد الحرام ۖ فما استقاموا لكم فاستقيموا لهم ۚ ان الله يحب المتقين
9.0,8.0,كيف وان يظهروا عليكم لا يرقبوا فيكم الا ولا ذمه ۚ يرضونكم بافواههم وتابي قلوبهم واكثرهم فاسقون
9.0,9.0,اشتروا بايات الله ثمنا قليلا فصدوا عن سبيله ۚ انهم ساء ما كانوا يعملون
9.0,10.0,لا يرقبون في مؤمن الا ولا ذمه ۚ واولئك هم المعتدون
9.0,11.0,فان تابوا واقاموا الصلاه واتوا الزكاه فاخوانكم في الدين ۗ ونفصل الايات لقوم يعلمون
9.0,12.0,وان نكثوا ايمانهم من بعد عهدهم وطعنوا في دينكم فقاتلوا ائمه الكفر ۙ انهم لا ايمان لهم لعلهم ينتهون
9.0,13.0,الا تقاتلون قوما نكثوا ايمانهم وهموا باخراج الرسول وهم بدءوكم اول مره ۚ اتخشونهم ۚ فالله احق ان تخشوه ان كنتم مؤمنين
9.0,14.0,قاتلوهم يعذبهم الله بايديكم ويخزهم وينصركم عليهم ويشف صدور قوم مؤمنين
9.0,15.0,ويذهب غيظ قلوبهم ۗ ويتوب الله علي من يشاء ۗ والله عليم حكيم
9.0,16.0,ام حسبتم ان تتركوا ولما يعلم الله الذين جاهدوا منكم ولم يتخذوا من دون الله ولا رسوله ولا المؤمنين وليجه ۚ والله خبير بما تعملون
9.0,17.0,ما كان للمشركين ان يعمروا مساجد الله شاهدين علي انفسهم بالكفر ۚ اولئك حبطت اعمالهم وفي النار هم خالدون
9.0,18.0,انما يعمر مساجد الله من امن بالله واليوم الاخر واقام الصلاه واتي الزكاه ولم يخش الا الله ۖ فعسي اولئك ان يكونوا من المهتدين
9.0,19.0,اجعلتم سقايه الحاج وعماره المسجد الحرام كمن امن بالله واليوم الاخر وجاهد في سبيل الله ۚ لا يستوون عند الله ۗ والله لا يهدي القوم الظالمين
9.0,20.0,الذين امنوا وهاجروا وجاهدوا في سبيل الله باموالهم وانفسهم اعظم درجه عند الله ۚ واولئك هم الفائزون
9.0,21.0,يبشرهم ربهم برحمه منه ورضوان وجنات لهم فيها نعيم مقيم
9.0,22.0,خالدين فيها ابدا ۚ ان الله عنده اجر عظيم
9.0,23.0,يا ايها الذين امنوا لا تتخذوا اباءكم واخوانكم اولياء ان استحبوا الكفر علي الايمان ۚ ومن يتولهم منكم فاولئك هم الظالمون
9.0,24.0,قل ان كان اباؤكم وابناؤكم واخوانكم وازواجكم وعشيرتكم واموال اقترفتموها وتجاره تخشون كسادها ومساكن ترضونها احب اليكم من الله ورسوله وجهاد في سبيله فتربصوا حتي ياتي الله بامره ۗ والله لا يهدي القوم الفاسقين
9.0,25.0,لقد نصركم الله في مواطن كثيره ۙ ويوم حنين ۙ اذ اعجبتكم كثرتكم فلم تغن عنكم شيئا وضاقت عليكم الارض بما رحبت ثم وليتم مدبرين
9.0,26.0,ثم انزل الله سكينته علي رسوله وعلي المؤمنين وانزل جنودا لم تروها وعذب الذين كفروا ۚ وذلك جزاء الكافرين
9.0,27.0,ثم يتوب الله من بعد ذلك علي من يشاء ۗ والله غفور رحيم
9.0,28.0,يا ايها الذين امنوا انما المشركون نجس فلا يقربوا المسجد الحرام بعد عامهم هذا ۚ وان خفتم عيله فسوف يغنيكم الله من فضله ان شاء ۚ ان الله عليم حكيم
9.0,29.0,قاتلوا الذين لا يؤمنون بالله ولا باليوم الاخر ولا يحرمون ما حرم الله ورسوله ولا يدينون دين الحق من الذين اوتوا الكتاب حتي يعطوا الجزيه عن يد وهم صاغرون
9.0,30.0,وقالت اليهود عزير ابن الله وقالت النصاري المسيح ابن الله ۖ ذلك قولهم بافواههم ۖ يضاهئون قول الذين كفروا من قبل ۚ قاتلهم الله ۚ اني يؤفكون
9.0,31.0,اتخذوا احبارهم ورهبانهم اربابا من دون الله والمسيح ابن مريم وما امروا الا ليعبدوا الها واحدا ۖ لا اله الا هو ۚ سبحانه عما يشركون
9.0,32.0,يريدون ان يطفئوا نور الله بافواههم ويابي الله الا ان يتم نوره ولو كره الكافرون
9.0,33.0,هو الذي ارسل رسوله بالهدي ودين الحق ليظهره علي الدين كله ولو كره المشركون
9.0,34.0,يا ايها الذين امنوا ان كثيرا من الاحبار والرهبان لياكلون اموال الناس بالباطل ويصدون عن سبيل الله ۗ والذين يكنزون الذهب والفضه ولا ينفقونها في سبيل الله فبشرهم بعذاب اليم
9.0,35.0,يوم يحمي عليها في نار جهنم فتكوي بها جباههم وجنوبهم وظهورهم ۖ هذا ما كنزتم لانفسكم فذوقوا ما كنتم تكنزون
9.0,36.0,ان عده الشهور عند الله اثنا عشر شهرا في كتاب الله يوم خلق السماوات والارض منها اربعه حرم ۚ ذلك الدين القيم ۚ فلا تظلموا فيهن انفسكم ۚ وقاتلوا المشركين كافه كما يقاتلونكم كافه ۚ واعلموا ان الله مع المتقين
9.0,37.0,انما النسيء زياده في الكفر ۖ يضل به الذين كفروا يحلونه عاما ويحرمونه عاما ليواطئوا عده ما حرم الله فيحلوا ما حرم الله ۚ زين لهم سوء اعمالهم ۗ والله لا يهدي القوم الكافرين
9.0,38.0,يا ايها الذين امنوا ما لكم اذا قيل لكم انفروا في سبيل الله اثاقلتم الي الارض ۚ ارضيتم بالحياه الدنيا من الاخره ۚ فما متاع الحياه الدنيا في الاخره الا قليل
9.0,39.0,الا تنفروا يعذبكم عذابا اليما ويستبدل قوما غيركم ولا تضروه شيئا ۗ والله علي كل شيء قدير
